trip_id,start_stop_id,arrival_time,arrival_hour,arrival_minute,stop_sequence_x,stop_lat,stop_lon,route_id,direction_id,runtime_sec,end_stop_id,next_lat,next_lon,congestion_level
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,2360,1900-01-01 19:15:00.000000000,19,15,2,51.167915,7.081023,300025,0,360.0,3452,51.163758,7.07951,4
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,8956,1900-01-01 19:21:00.000000000,19,21,3,51.163758,7.07951,300025,0,60.0,2360,51.161681,7.077661,2
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3451,1900-01-01 19:22:00.000000000,19,22,4,51.161681,7.077661,300025,0,60.0,8956,51.158978,7.074396,3
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,7772,1900-01-01 19:23:00.000000000,19,23,5,51.158978,7.074396,300025,0,60.0,3451,51.156805,7.0702,1
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,5297,1900-01-01 19:24:00.000000000,19,24,6,51.156805,7.0702,300025,0,60.0,7772,51.15429,7.066125,2
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3450,1900-01-01 19:25:00.000000000,19,25,7,51.15429,7.066125,300025,0,60.0,5297,51.151736,7.055332,2
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3449,1900-01-01 19:26:00.000000000,19,26,8,51.151736,7.055332,300025,0,60.0,3450,51.150643,7.050905,0
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,2636,1900-01-01 19:27:00.000000000,19,27,9,51.150643,7.050905,300025,0,60.0,3449,51.148841,7.045405,0
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3448,1900-01-01 19:28:00.000000000,19,28,10,51.148841,7.045405,300025,0,60.0,2636,51.14615,7.02951,2
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3447,1900-01-01 19:29:00.000000000,19,29,11,51.14615,7.02951,300025,0,120.0,3448,51.14266,7.027789,1
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3446,1900-01-01 19:31:00.000000000,19,31,12,51.14266,7.027789,300025,0,60.0,3447,51.139561,7.026491,2
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3445,1900-01-01 19:32:00.000000000,19,32,13,51.139561,7.026491,300025,0,60.0,3446,51.131395,7.025896,2
0-25-003-3452.2.21:191400-44-189_C79F9340-8B4E-4B47-BA80-B07D01552980,3444,1900-01-01 19:33:00.000000000,19,33,14,51.131395,7.025896,300025,0,80.0,3445,51.127984,7.022263,0
